No.;Diameter tube [mm];Wallthickness tube [mm];Mandrel extraction before bending end [];Collet boost [-];Clearance pressure die [mm]
1;21.70;0.80;0;0.95;0.00
2;21.70;0.80;0;0.95;-0.10
3;21.70;0.80;0;0.95;-0.20
4;21.70;0.80;0;0.90;0.00
5;21.70;0.80;0;0.90;-0.10
6;21.70;0.80;0;0.90;-0.20
7;21.70;0.80;0;0.85;0.00
8;21.70;0.80;0;0.85;-0.10
9;21.70;0.80;0;0.85;-0.20
10;21.70;0.80;5;0.95;0.00
11;21.70;0.80;5;0.95;-0.10
12;21.70;0.80;5;0.95;-0.20
13;21.70;0.80;5;0.90;0.00
14;21.70;0.80;5;0.90;-0.10
15;21.70;0.80;5;0.90;-0.20
16;21.70;0.80;5;0.85;0.00
17;21.70;0.80;5;0.85;-0.10
18;21.70;0.80;5;0.85;-0.20
19;21.70;0.80;10;0.95;0.00
20;21.70;0.80;10;0.95;-0.10
21;21.70;0.80;10;0.95;-0.20
22;21.70;0.80;10;0.90;0.00
23;21.70;0.80;10;0.90;-0.10
24;21.70;0.80;10;0.90;-0.20
25;21.70;0.80;10;0.85;0.00
26;21.70;0.80;10;0.85;-0.10
27;21.70;0.80;10;0.85;-0.20
28;22.00;0.80;0;0.95;0.00
29;22.00;0.80;0;0.95;-0.10
30;22.00;0.80;0;0.95;-0.20
31;22.00;0.80;0;0.90;0.00
32;22.00;0.80;0;0.90;-0.10
33;22.00;0.80;0;0.90;-0.20
34;22.00;0.80;0;0.85;0.00
35;22.00;0.80;0;0.85;-0.10
36;22.00;0.80;0;0.85;-0.20
37;22.00;0.80;5;0.95;0.00
38;22.00;0.80;5;0.95;-0.10
39;22.00;0.80;5;0.95;-0.20
40;22.00;0.80;5;0.90;0.00
41;22.00;0.80;5;0.90;-0.10
42;22.00;0.80;5;0.90;-0.20
43;22.00;0.80;5;0.85;0.00
44;22.00;0.80;5;0.85;-0.10
45;22.00;0.80;5;0.85;-0.20
46;22.00;0.80;10;0.95;0.00
47;22.00;0.80;10;0.95;-0.10
48;22.00;0.80;10;0.95;-0.20
49;22.00;0.80;10;0.90;0.00
50;22.00;0.80;10;0.90;-0.10
51;22.00;0.80;10;0.90;-0.20
52;22.00;0.80;10;0.85;0.00
53;22.00;0.80;10;0.85;-0.10
54;22.00;0.80;10;0.85;-0.20
55;22.00;1.00;0;0.95;0.00
56;22.00;1.00;0;0.95;-0.10
57;22.00;1.00;0;0.95;-0.20
58;22.00;1.00;0;0.90;0.00
59;22.00;1.00;0;0.90;-0.10
60;22.00;1.00;0;0.90;-0.20
61;22.00;1.00;0;0.85;0.00
62;22.00;1.00;0;0.85;-0.10
63;22.00;1.00;0;0.85;-0.20
64;22.00;1.00;5;0.95;0.00
65;22.00;1.00;5;0.95;-0.10
66;22.00;1.00;5;0.95;-0.20
67;22.00;1.00;5;0.90;0.00
68;22.00;1.00;5;0.90;-0.10
69;22.00;1.00;5;0.90;-0.20
70;22.00;1.00;5;0.85;0.00
71;22.00;1.00;5;0.85;-0.10
72;22.00;1.00;5;0.85;-0.20
73;22.00;1.00;10;0.95;0.00
74;22.00;1.00;10;0.95;-0.10
75;22.00;1.00;10;0.95;-0.20
76;22.00;1.00;10;0.90;0.00
77;22.00;1.00;10;0.90;-0.10
78;22.00;1.00;10;0.90;-0.20
79;22.00;1.00;10;0.85;0.00
80;22.00;1.00;10;0.85;-0.10
81;22.00;1.00;10;0.85;-0.20
82;22.30;0.80;0;0.95;0.00
83;22.30;0.80;0;0.95;-0.10
84;22.30;0.80;0;0.95;-0.20
85;22.30;0.80;0;0.90;0.00
86;22.30;0.80;0;0.90;-0.10
87;22.30;0.80;0;0.90;-0.20
88;22.30;0.80;0;0.85;0.00
89;22.30;0.80;0;0.85;-0.10
90;22.30;0.80;0;0.85;-0.20
91;22.30;0.80;5;0.95;0.00
92;22.30;0.80;5;0.95;-0.10
93;22.30;0.80;5;0.95;-0.20
94;22.30;0.80;5;0.90;0.00
95;22.30;0.80;5;0.90;-0.10
96;22.30;0.80;5;0.90;-0.20
97;22.30;0.80;5;0.85;0.00
98;22.30;0.80;5;0.85;-0.10
99;22.30;0.80;5;0.85;-0.20
100;22.30;0.80;10;0.95;0.00
101;22.30;0.80;10;0.95;-0.10
102;22.30;0.80;10;0.95;-0.20
103;22.30;0.80;10;0.90;0.00
104;22.30;0.80;10;0.90;-0.10
105;22.30;0.80;10;0.90;-0.20
106;22.30;0.80;10;0.85;0.00
107;22.30;0.80;10;0.85;-0.10
108;22.30;0.80;10;0.85;-0.20
109;22.30;1.00;0;0.95;0.00
110;22.30;1.00;0;0.95;-0.10
111;22.30;1.00;0;0.95;-0.20
112;22.30;1.00;0;0.90;0.00
113;22.30;1.00;0;0.90;-0.10
114;22.30;1.00;0;0.90;-0.20
115;22.30;1.00;0;0.85;0.00
116;22.30;1.00;0;0.85;-0.10
117;22.30;1.00;0;0.85;-0.20
118;22.30;1.00;5;0.95;0.00
119;22.30;1.00;5;0.95;-0.10
120;22.30;1.00;5;0.95;-0.20
121;22.30;1.00;5;0.90;0.00
122;22.30;1.00;5;0.90;-0.10
123;22.30;1.00;5;0.90;-0.20
124;22.30;1.00;5;0.85;0.00
125;22.30;1.00;5;0.85;-0.10
126;22.30;1.00;5;0.85;-0.20
127;22.30;1.00;10;0.95;0.00
128;22.30;1.00;10;0.95;-0.10
129;22.30;1.00;10;0.95;-0.20
130;22.30;1.00;10;0.90;0.00
131;22.30;1.00;10;0.90;-0.10
132;22.30;1.00;10;0.90;-0.20
133;22.30;1.00;10;0.85;0.00
134;22.30;1.00;10;0.85;-0.10
135;22.30;1.00;10;0.85;-0.20
136;22.30;1.20;0;0.95;0.00
137;22.30;1.20;0;0.95;-0.10
138;22.30;1.20;0;0.95;-0.20
139;22.30;1.20;0;0.90;0.00
140;22.30;1.20;0;0.90;-0.10
141;22.30;1.20;0;0.90;-0.20
142;22.30;1.20;0;0.85;0.00
143;22.30;1.20;0;0.85;-0.10
144;22.30;1.20;0;0.85;-0.20
145;22.30;1.20;5;0.95;0.00
146;22.30;1.20;5;0.95;-0.10
147;22.30;1.20;5;0.95;-0.20
148;22.30;1.20;5;0.90;0.00
149;22.30;1.20;5;0.90;-0.10
150;22.30;1.20;5;0.90;-0.20
151;22.30;1.20;5;0.85;0.00
152;22.30;1.20;5;0.85;-0.10
153;22.30;1.20;5;0.85;-0.20
154;22.30;1.20;10;0.95;0.00
155;22.30;1.20;10;0.95;-0.10
156;22.30;1.20;10;0.95;-0.20
157;22.30;1.20;10;0.90;0.00
158;22.30;1.20;10;0.90;-0.10
159;22.30;1.20;10;0.90;-0.20
160;22.30;1.20;10;0.85;0.00
161;22.30;1.20;10;0.85;-0.10
162;22.30;1.20;10;0.85;-0.20
